1672415100000,16557.55000000,16580.70000000,16541.33000000,16555.26000000,3339.68385000,1672415999999,55297275.56204260,68220,1602.84675000,26539075.67566310,0
1672416000000,16555.26000000,16577.00000000,16533.94000000,16535.22000000,2599.91414000,1672416899999,43047005.67530980,59850,1218.76698000,20180008.22504040,0
1672416900000,16535.96000000,16541.44000000,16517.31000000,16520.66000000,2174.00882000,1672417799999,35935186.15186390,50339,1096.70471000,18127788.70727520,0
1672417800000,16520.14000000,16537.75000000,16515.45000000,16524.82000000,1536.01544000,1672418699999,25388965.34759590,41199,776.74401000,12838856.87271670,0
1672418700000,16524.82000000,16551.64000000,16524.08000000,16545.86000000,1531.75023000,1672419599999,25335526.86879900,41735,821.99216000,13595907.49451150,0
1672419600000,16545.86000000,16551.40000000,16521.28000000,16524.91000000,1335.76966000,1672420499999,22086138.82786960,37228,638.29612000,10554268.62972620,0
1672420500000,16525.42000000,16543.07000000,16522.01000000,16533.14000000,1281.78667000,1672421399999,21186606.55409290,35887,641.48434000,10603187.65860690,0
1672421400000,16533.14000000,16544.69000000,16519.14000000,16529.93000000,1710.81644000,1672422299999,28283126.63463460,42089,864.79220000,14296972.27724560,0
1672422300000,16529.93000000,16536.14000000,16517.08000000,16533.12000000,1372.75289000,1672423199999,22684672.22200970,38556,682.23780000,11274205.47978640,0
1672423200000,16533.77000000,16538.78000000,16522.34000000,16532.40000000,1292.55626000,1672424099999,21366359.47908850,36043,627.94140000,10380208.06681150,0
1672424100000,16532.98000000,16538.50000000,16518.81000000,16527.20000000,1522.44631000,1672424999999,25162601.78814930,38408,756.13648000,12497476.13336690,0
1672425000000,16526.76000000,16557.64000000,16524.00000000,16549.55000000,1834.25149000,1672425899999,30344750.87284320,43350,961.92575000,15913364.90195560,0
1672425900000,16549.55000000,16574.61000000,16548.84000000,16565.77000000,1790.63722000,1672426799999,29654287.46643360,41009,929.46309000,15392544.59794540,0
